7DD47F20000007E0,right
0D3D4B20000007E0,hatch
F63C4B20000007E0,chirp
093D4B20000007E0,spin
103D4B20000007E0,right
80D47F20000007E0,hop
0F3D4B20000007E0,eat
7AD47F20000007E0,spin
7CD47F20000007E0,eat
7FD47F20000007E0,left
073D4B20000007E0,spin
063D4B20000007E0,endRepeat
083D4B20000007E0,left
F23C4B20000007E0,hop
F33C4B20000007E0,hop
0E3D4B20000007E0,eat
F93C4B20000007E0,right
7BD47F20000007E0,chirp
E53C4B20000007E0,right
E43C4B20000007E0,left
79D47F20000007E0,repeat
0A3D4B20000007E0,right
7ED47F20000007E0,else
E73C4B20000007E0,chirp
EB3C4B20000007E0,left
ED3C4B20000007E0,hatch
E33C4B20000007E0,hop
F03C4B20000007E0,left
E63C4B20000007E0,hop
F53C4B20000007E0,hop
EE3C4B20000007E0,hatch
EF3C4B20000007E0,repeatForever
